sample	AA	BB	CC	DD	EE	FF	GG	HH	II
8_69	2.30780162491278e-09	3.07706883321706e-09	2.07364889494585e-06	2.76355457088833e-05	0.999551816561772	0.000223945677371307	1.97443120073292e-06	8.89226353351112e-05	0.000103626114828473
8_73	2.25468131797428e-12	3.00624175729906e-12	0.000385407004390637	6.81349828911988e-10	2.00619826841668e-09	4.01740225965476e-12	0.999614483642523	5.35824847503293e-08	5.30738022152027e-08
8_75	0.73728654313201	0.262713289011458	6.96087165478155e-12	4.98060388420817e-11	1.49418035651411e-10	7.39865462815391e-08	6.74766664980841e-12	1.49697299972034e-10	9.35073457193616e-08
8_78	0.428569803117008	0.571426404156014	3.09251045582713e-10	8.59900012582339e-12	1.62490380106952e-11	7.95322422033552e-09	2.42632246265982e-12	1.62641294795638e-11	3.78442094938667e-06
9_10	1.70228027248349e-12	1.70228027248349e-12	2.29474139271995e-09	2.54303004711867e-10	0.999999836164007	1.19913883668613e-10	2.16693402242106e-09	8.18594028800063e-08	7.71372940722456e-08
9_21	7.98047254579566e-08	7.98047254579566e-08	7.35465646174297e-08	2.51080558911345e-10	7.6613732178051e-08	1.19463551473791e-07	7.35465595603962e-08	7.53134239638616e-08	0.999999421655613
9_23	0.499989228762391	0.499989228762448	3.1974186634016e-12	1.15006014913398e-14	3.44938147925756e-12	3.64279540446104e-08	3.14346637886981e-12	3.45017004845615e-12	2.15060339874877e-05
9_24	7.9803301138575e-08	7.9803301138575e-08	7.35452398972547e-08	2.51076032039888e-10	7.66137227716292e-08	1.19386632819833e-07	7.35452348403164e-08	7.53132634943272e-08	0.999999421738206
9_28	8.42457425758552e-10	8.42457425758552e-10	4.55667629630334e-12	3.99700063371147e-13	1.19892672685617e-10	0.999999877805472	4.34175908381302e-12	1.20124785322976e-10	1.20260286993687e-07
9_52	0.969042380351789	0.030957537717934	3.15695717420106e-12	1.13255173992821e-14	3.39765509746605e-12	1.68189693411517e-09	3.10370097870188e-12	3.3981387600637e-12	8.02353182539627e-08
9_53	0.969042382822417	0.030957535247303	3.15695717418634e-12	1.13255173992293e-14	3.39765509745021e-12	1.68189693410733e-09	3.10370097868741e-12	3.39813876004786e-12	8.02353182535887e-08
9_54	3.22188591405007e-05	3.22188591405025e-05	2.6237574634762e-09	4.13607228084995e-09	1.24044534911092e-06	0.999006978090302	1.43797771433148e-10	1.24293092071851e-06	0.000926093911557796
9_56	1.70228027248356e-12	1.70228027248356e-12	2.29474139272005e-09	2.54303004711864e-10	0.999999836164007	1.19913883668611e-10	2.16693402242096e-09	8.18594028800051e-08	7.71372940722467e-08
9_65	0.968985768381852	0.0310141496154241	3.15974872700788e-12	1.13355320894055e-14	3.40065948844132e-12	1.68338415871071e-09	3.10644543945987e-12	3.40114357871276e-12	8.03062617210438e-08
9_67	0.0312211117671865	0.968778744391888	8.94945179366483e-12	4.26906558524407e-13	1.28071898235022e-10	6.34166557418754e-08	8.67533024371561e-12	1.28311266733211e-10	8.0149841849634e-08
9_69	0.499997113540207	0.499997095796949	9.20749244375046e-12	8.08520876109682e-13	2.42539072133546e-10	5.54534174813895e-06	8.7047271353721e-12	2.42994541051342e-10	2.4481684361078e-07
9_70	0.500471294135211	0.49952856393394	8.94925423711833e-12	4.2689707797564e-13	1.28069054049842e-10	6.34115030913238e-08	8.67514020494665e-12	1.28308417220197e-10	7.82449016523642e-08
9_71	6.07491566650175e-05	3.68858292609147e-06	2.62367165529166e-09	4.13592927183442e-09	1.24044565016893e-06	0.999006950646933	1.43797769346547e-10	1.24293124128343e-06	0.000926121333188281
9_9	1.55402160844901e-12	1.55402160844901e-12	1.62147350463594e-08	7.21844626857383e-12	2.17395461699278e-09	4.33957442869015e-12	0.999999945103129	2.03639395244167e-08	1.61295706670633e-08
10_10	1.55401236666413e-12	1.55401236666413e-12	1.62080684243236e-08	7.21839934381108e-12	2.16543457251557e-09	4.33954573487892e-12	0.999999949415384	1.60675823973994e-08	1.61288789197751e-08
10_15	8.42457425758576e-10	8.42457425758576e-10	4.55667629630334e-12	3.99700063371192e-13	1.19892672685624e-10	0.999999877805472	4.34175908381314e-12	1.20124785322989e-10	1.20260286993694e-07
10_17	7.35309042036769e-08	7.35309042036769e-08	7.45448176900098e-08	2.54513135477059e-10	8.17280016585338e-08	7.53399280919714e-08	7.45447976006032e-08	0.999999471217845	7.53082919437016e-08
10_18	8.4245749406728e-10	8.4245749406728e-10	4.55667236416175e-12	3.99692921510036e-13	1.19892678266636e-10	0.999999877728563	4.34175943459789e-12	1.20124278090029e-10	1.20337240270017e-07
10_21	0.500595741103017	0.499404178803012	3.159678976698e-12	1.13352803558161e-14	3.40058396778235e-12	1.6832473826125e-09	3.1063773909664e-12	3.40106804698367e-12	7.83976100114523e-08
10_29	0.500452577939972	0.499510354786597	8.37867622350858e-08	5.6722025795943e-09	6.17242897711277e-09	3.00744944077779e-06	1.03464779383705e-10	2.93031027786004e-05	4.66098638803083e-06
10_36	7.35309042036758e-08	7.35309042036769e-08	7.45448176900088e-08	2.54513135477055e-10	8.17280016585326e-08	7.53399280919703e-08	7.45447976006032e-08	0.999999471217845	7.53082919437005e-08
10_37	1.58148453653199e-12	1.58148453653199e-12	0.999999832780759	7.79216059993001e-12	2.29435605753669e-09	4.55673185218924e-12	1.62186091290153e-08	7.46617802089087e-08	7.40289919528979e-08
10_38	1.67402807277972e-09	1.67402807277972e-09	2.25665504266074e-06	2.49695396022597e-07	0.91901205569893	1.17925886550609e-07	2.13100949964473e-06	8.03760265809115e-05	0.0809028096406078
10_41	0.493581663755578	0.493581663755585	6.54865442964069e-07	2.18625271306901e-09	6.56146227418093e-07	0.00275192512969737	6.61183697834188e-07	0.00789345989447955	0.0021893130830437
10_43	7.35309042036758e-08	7.35309042036758e-08	7.45448176900088e-08	2.54513135477052e-10	8.17280016585314e-08	7.53399280919693e-08	7.45447976006032e-08	0.999999471217845	7.53082919437016e-08
10_47	8.49778245236559e-10	8.49778245236559e-10	2.29474186796897e-09	2.54305242730345e-10	0.999999774933567	5.98370943500432e-08	2.16693441477787e-09	8.18601155934668e-08	7.6953687704163e-08
10_5	0.499999851440719	0.49999985121616	9.1866612356849e-12	1.00491598027584e-12	3.08201757701906e-10	1.29866603529463e-07	8.68072146336603e-12	3.02134086798497e-10	1.66847295026002e-07
10_8	0.499947079375744	0.499947079375744	8.23565071120536e-06	2.8963941479878e-10	8.68916856340159e-08	4.30129364837808e-05	5.88706797577623e-09	1.08625511976467e-07	5.43909673817866e-05
10_9	7.98033011385886e-08	7.98033011385886e-08	7.3545239897263e-08	2.51076032039917e-10	7.66137227825079e-08	1.19386632819846e-07	7.35452348403248e-08	7.53132634943357e-08	0.999999421738206
11_21	8.43181018475611e-10	1.12424135796747e-09	3.04041849919321e-12	4.00027042637418e-11	1.19992901906376e-10	0.999999877308391	2.89702378563054e-12	1.20224695040705e-10	1.2043802733178e-07
11_3	1.0371158110969e-12	1.38282108146255e-12	7.21137272306312e-09	4.81741364163925e-10	1.44516721059002e-09	2.89612534981431e-12	0.999999969368901	1.07232972406376e-08	1.07642070729743e-08
11_30	6.76283237674374e-06	9.01710983565888e-06	4.48959196160269e-06	2.74481987084694e-05	8.82672226162258e-05	8.12246155345014e-05	0.00698796200214353	0.9927134945691	8.13338577519377e-05
11_32	0.958861647561919	0.0411381844849204	6.96487906635571e-12	4.98347124488399e-11	1.49504056425119e-10	7.40291407376032e-08	6.75155131810429e-12	1.49783481519724e-10	9.35611784055638e-08
