sample	AA	BB	CC	DD	EE	FF	GG	HH	II	JJ	KK	LL	MM	NN	OO	PP	QQ	RR	SS
MAGIC.578	0.51930206048705	6.55394932662865e-07	3.14367599639662e-07	3.54659423972967e-06	0.000390686180813958	0.00061282301501789	9.51514446027633e-07	7.59813717767688e-07	0.000198033316188042	2.78404190292477e-05	4.86053023957584e-06	6.21544882860403e-06	1.70465074294888e-07	5.85567274698302e-07	1.06849811208017e-06	1.70465065113714e-07	1.29456088879196e-06	0.479447552338817	4.1102268553144e-07
MAGIC.581	2.26528733215882e-10	1.26135465687226e-07	9.19146723926113e-08	1.68706893078658e-07	0.999987941531243	2.53228836443438e-06	2.00017686024743e-07	2.81633331973243e-08	1.84052840559654e-06	9.47616326038603e-08	5.35409653031108e-06	2.9672641617181e-07	8.7427883762965e-08	2.63889804848954e-07	4.70103531718556e-07	8.74278879595163e-08	9.42881744428726e-08	1.43970124372832e-07	1.77795422274439e-07
MAGIC.583	2.26315353884306e-06	0.866384263609367	2.50300959545268e-05	0.00108250404865897	0.000546881730925037	0.000365176353453784	0.000904819979948184	8.53818079005128e-07	0.000118070465518656	0.0026313759215185	0.00054532299044842	0.000107301430151465	0.00387799209472211	0.123155004265505	0.000117614951498077	2.16072655936832e-05	4.82261301099553e-06	3.43014009578325e-06	0.000105665072011476
MAGIC.585	3.13668163916959e-10	1.72570868921851e-07	8.66073225718995e-08	3.42009027356127e-07	1.96192665353478e-07	1.96196137409855e-07	0.999997552026933	2.75650422778677e-08	1.95277500139369e-07	9.30191253668804e-08	1.96192857226097e-07	1.10395355752341e-07	8.66073228080942e-08	1.21928788443523e-07	1.95271662475033e-07	8.66078476391392e-08	9.36373390964125e-08	1.37447793465205e-07	1.10132743998272e-07
MAGIC.586	2.21596126883955e-10	9.69082139290464e-07	1.40258244066362e-07	1.2229157989681e-07	2.59136549336521e-07	2.62805919077371e-07	1.22636575942047e-07	2.07153543798922e-08	2.55899235065925e-07	9.31881137973466e-08	2.59341616039148e-07	2.3162815555748e-07	1.40264806760805e-07	0.999996354647796	2.56105885187825e-07	1.40283412408987e-07	9.31874862974678e-08	1.03200358335632e-07	1.75105177417567e-07
MAGIC.587	2.23135843264617e-10	3.77102635429022e-06	1.70634675208167e-07	1.23158283594585e-07	2.68884453601292e-07	1.27837628989266e-06	1.23370365693406e-07	2.08656846201503e-08	2.5776721762276e-07	9.38314835699543e-08	2.68944449380627e-07	2.33183043314631e-07	1.70635141311663e-07	0.999992415495967	2.57814492442413e-07	1.71604301283466e-07	9.3830356441672e-08	1.03949452862283e-07	1.76404846008636e-07
MAGIC.588	2.21592441209949e-10	9.67604297649183e-07	1.40253367250769e-07	1.22263592941449e-07	2.59058952986384e-07	2.62696258094897e-07	1.22444562093688e-07	2.07151682781253e-08	2.55828623801369e-07	9.31869855156906e-08	2.59116739500338e-07	2.31564269735079e-07	1.40253756661373e-07	0.99999635719289	2.55885325577943e-07	1.40256102313393e-07	9.31863483292799e-08	1.03198971465288e-07	1.75072192275643e-07
MAGIC.598	2.21957249312642e-10	1.22202036823756e-07	8.66198762112941e-08	1.6402521847363e-07	4.6051016089266e-07	4.63297805262428e-07	1.95970346477108e-07	2.7759577805008e-08	1.09839242352077e-06	9.33317756438721e-08	5.06809149134843e-07	2.59819039026042e-07	8.66828604628476e-08	2.56277287089376e-07	0.999995684683383	8.66797749973736e-08	9.33299121242498e-08	1.38384287617424e-07	1.75003125884035e-07
MAGIC.603	3.64437966045361e-07	0.000325856952044499	0.581807011529293	0.000201171480688223	0.40516688833719	0.000517117356293822	0.000202715560720135	3.40177871754921e-05	0.00107629840284286	0.00015313237924278	0.00047127016085839	0.000468065019048605	0.00564904641462239	0.000681248410713589	0.000470128560657421	0.00216305506433482	0.000153134603523181	0.000170899218271688	0.000288578324510441
MAGIC.606	2.4381266760797e-10	1.10262250518027e-07	7.80247429973775e-08	1.10148097090624e-07	1.74107901659785e-07	1.74724864900748e-07	1.10148119030025e-07	1.86868033847074e-08	1.74109657368805e-07	1.02546537327803e-07	1.74056117190968e-07	1.93050089410438e-07	7.80246390909724e-08	1.74239564644201e-07	1.74059982240095e-07	7.80246464103245e-08	1.02542705029816e-07	9.29695371049167e-08	0.999997880029932
MAGIC.612	3.73315151937317e-11	2.04396559517182e-08	2.03680056098152e-08	9.54325719888127e-08	2.76139150987231e-08	2.76139210319973e-08	2.73848799740406e-08	0.999999467431124	2.74921279295129e-08	1.84899241886656e-08	2.76139154094052e-08	1.85959182835886e-08	2.03680056103035e-08	2.05195383110437e-08	2.74920001189508e-08	2.03680061475303e-08	1.84885821220775e-08	9.56685415871644e-08	1.85820385392532e-08
MAGIC.615	1.04462275683446e-06	0.997060318021298	2.17050560225085e-06	0.000497020834722953	5.52767405360384e-05	5.49117971627541e-05	0.00041647874869819	3.93956927589466e-07	5.42236669827171e-05	0.00121594296994281	5.51191614761919e-05	4.90843919054113e-05	2.17000230423036e-06	0.000427238536192357	5.40687707227275e-05	2.1700602205196e-06	2.23223105605966e-06	1.58108410978441e-06	4.85538973674217e-05
MAGIC.621	4.32370345037019e-10	7.21047156404786e-07	0.997933692478927	2.38235840497461e-07	2.45688877305051e-07	2.39729733085988e-07	2.44986445797253e-07	5.68203517510331e-08	2.41329471692456e-07	2.15655356673287e-07	2.4009692103518e-07	2.16734878719995e-07	0.00115611700238991	5.32247643367139e-07	2.39273070888424e-07	0.000906038356075657	2.15663102432582e-07	2.87817383523534e-07	2.1640400277092e-07
MAGIC.623	5.70940491824298e-10	4.58168808252975e-07	2.63844941264452e-07	8.34041580032098e-07	0.00329163149084389	7.34568143228162e-05	1.02389036380427e-06	1.23150580919816e-07	6.28964457428281e-06	2.31205180752813e-07	0.996077531550215	0.000339448048112745	2.67553039498559e-07	8.99094975664641e-07	0.000205904992825527	2.64138503285033e-07	2.20702766363079e-07	7.28992286942272e-07	4.22105139842033e-07
MAGIC.626	2.24947585008069e-10	1.24401818545409e-07	8.71442133874769e-08	1.66661451247428e-07	2.49573075646924e-06	0.999991908440771	1.98559972054574e-07	2.8051585134124e-08	5.11845309461279e-07	9.42715641700952e-08	2.26818988113586e-06	8.00205954363437e-07	8.70865244169969e-08	2.64426164974292e-07	4.67098844588487e-07	8.70865219591386e-08	9.38026305267138e-08	1.40230087626612e-07	1.76541015107817e-07
MAGIC.630	3.5052677948076e-10	0.999997045482532	1.42069710526795e-07	1.92576073109337e-07	1.26200021226776e-07	1.2340323768442e-07	1.92585635064797e-07	2.0581770548564e-08	1.21816668296326e-07	9.30394048499998e-08	1.26199899738489e-07	1.10266936505465e-07	1.42069710143386e-07	9.91725914519597e-07	1.21815780804137e-07	1.43466556688645e-07	9.30383367627186e-08	1.02626213235277e-07	1.10685072644862e-07
MAGIC.631	3.3061617377376e-10	9.26801055875459e-08	7.7585838303598e-08	9.30068871766756e-08	9.27126903403857e-08	9.27126933551724e-08	9.34196374590957e-08	1.85559398468834e-08	9.27117653104883e-08	2.78005122985424e-07	9.27127964024303e-08	1.64501391209372e-07	7.75858385153791e-08	9.25879453551215e-08	9.27119787312677e-08	7.75872252069552e-08	0.999998258061123	1.10225057324867e-07	1.02305349162041e-07
MAGIC.632	4.03978301307789e-10	2.21059261199876e-07	1.27159041906515e-06	5.16093111548418e-06	0.000308434730470715	5.42840287174949e-07	2.97628316920033e-07	4.79244642342052e-07	9.44148421725403e-07	8.07923054537044e-06	5.120532850999e-07	3.57685703792548e-07	3.68848711093248e-07	3.42356115067686e-07	4.94226427444199e-07	3.68848699408728e-07	8.17033552543562e-06	0.999663695263183	2.58574889166108e-07
MAGIC.635	8.05110185510409e-06	0.00225688310685071	0.000235084200443482	0.00228325637911408	0.0607173520142997	0.0233178323664273	0.00228951489595083	3.98932384270702e-05	0.0864358067872541	0.00026142182399385	0.0203131064961606	0.0413732209470702	0.000153968940021076	0.016947842632277	0.0201865669925603	0.000153971691906951	0.657553960761167	0.0543462714211669	0.0111259942030529
MAGIC.639	2.85596960312092e-10	1.02499945009406e-07	1.03579061650312e-07	5.73674004756445e-07	1.41144618597998e-07	1.38603473761027e-07	1.37285262243538e-07	8.13260815381989e-08	1.40799273428042e-07	1.63841579697143e-07	1.44060008516191e-07	1.38630740766234e-07	1.02827878160036e-07	1.02770371798002e-07	1.37718104145993e-07	1.02827878161741e-07	1.63537970673538e-07	0.999997421946025	1.02642124203883e-07
MAGIC.640	4.50970415889469e-10	2.49394932934302e-07	1.75168859577686e-07	3.34554125121982e-07	7.14129359934242e-06	0.999751447523271	3.984207363246e-07	5.62128096449109e-08	1.46335460722039e-06	1.88945269537293e-07	5.82810990269424e-06	0.00022812246497523	1.74837905438882e-07	6.43723702531529e-07	1.99341974072371e-06	1.74839400953689e-07	1.8800598845139e-07	2.81789715032621e-07	1.13748948299423e-06
MAGIC.641	1.5729411534539e-10	1.40633279912308e-07	6.98304332951274e-06	8.66681943908802e-08	8.70469986283258e-08	8.7045373688433e-08	8.73738098732698e-08	2.06709335521038e-08	8.70431557875981e-08	7.84545624314802e-08	8.71044098437809e-08	7.87884900432355e-08	0.999981714108971	1.40477512958768e-07	8.71061674655745e-08	9.97323617553408e-06	7.8455357695611e-08	1.03861128889181e-07	7.8724853246066e-08
MAGIC.646	8.43710977868207e-10	3.68408300158668e-06	1.97954768912309e-07	4.68951158666965e-07	9.73322177716353e-06	4.03453320700148e-06	9.57922850699142e-07	2.67523360638339e-08	1.35198608937072e-05	1.12981134202943e-07	3.51634294619257e-06	3.5564086607935e-06	1.77955280318928e-07	0.999946280579772	3.45327773719342e-06	1.77958255012766e-07	1.12987380375567e-07	8.36118962018599e-06	1.62619550365549e-06
MAGIC.648	7.28572698431193e-10	4.05680266385186e-07	7.30302806660804e-07	5.43232754288514e-07	0.999262386557976	1.7828644862093e-05	6.43856892704199e-07	7.58630587992531e-08	0.000671140098230908	2.68623961824867e-07	3.84588340026303e-05	1.36761796567534e-06	2.35101884080294e-07	1.12904736739977e-06	2.0581126901816e-06	2.35101895350908e-07	2.67282830180001e-07	1.52036040117066e-06	7.04951578288042e-07
MAGIC.649	0.999999993095908	3.51577333837376e-10	1.56261172333909e-10	5.18239898179782e-10	2.23835678646267e-10	2.23950204924882e-10	4.65261664552985e-10	3.74259318475783e-11	2.21994052227504e-10	1.63877009275302e-09	2.2372906686145e-10	1.32260842689736e-09	1.56260960744256e-10	2.21468897755787e-10	2.21875350834359e-10	1.56260960744276e-10	3.33439155272203e-10	1.86608081633238e-10	2.44517500436716e-10
MAGIC.650	2.2673700635245e-10	1.22662903055168e-07	8.76232874975059e-08	1.64681982047054e-07	1.07685128387942e-06	5.2332822709352e-07	1.98901889351157e-07	2.786391138991e-08	0.999993702937607	9.36129754006106e-08	4.71330071479765e-07	2.85954614241525e-07	8.68787975110426e-08	2.57422991320448e-07	2.40281443536262e-06	8.68787975114192e-08	9.36091507697701e-08	1.40575075735164e-07	1.75845260700569e-07
MAGIC.658	2.25652577555045e-10	1.25647614735465e-07	8.92744742287804e-08	1.68052548211961e-07	0.999988804390271	2.51205147707938e-06	1.99242469189673e-07	2.81065731909234e-08	1.07045110434356e-06	9.45002756303433e-08	5.29817269158888e-06	2.94354761827015e-07	8.72531045583486e-08	2.62053579588146e-07	4.66696337544343e-07	8.72531087461e-08	9.40281172913282e-08	1.41525655642702e-07	1.76720180064015e-07
MAGIC.660	6.04782541173465e-10	2.03694859032074e-06	0.996649271881342	3.33231624437102e-07	3.42996000065887e-07	3.34927160666176e-07	3.38486614487613e-07	7.94777168306072e-08	3.37559619129483e-07	3.01650188864185e-07	3.35187410177908e-07	3.03147374490917e-07	0.00115434234368875	5.4784565619027e-07	3.34683237088194e-07	0.00218975209184054	3.01656223766692e-07	4.02585818873854e-07	3.02695119566156e-07
MAGIC.661	4.82749411895967e-07	0.000149585281473241	0.000108840572248268	0.000200796977171293	0.484858536663254	0.000618843453649782	0.000577939112286363	3.39545436073934e-05	0.00128443630256097	0.000202844436877034	0.000563966468388146	0.000618843454461091	0.000106371810528201	0.000314074628617082	0.000561043373239637	0.000107954548356551	0.509283850144127	0.000170580912507689	0.000237054567235316
MAGIC.662	1.5692587305981e-10	1.40352083284066e-07	4.2972206647872e-06	8.64653697857838e-08	8.68433135245552e-08	8.68417004559493e-08	8.71694016361839e-08	2.06225590610301e-08	8.6839496985137e-08	7.82708932281917e-08	8.69005898366144e-08	7.86040293548886e-08	9.85730825866659e-06	1.40197266674148e-07	8.68992524738892e-08	0.999984518876496	7.82730832803099e-08	1.03617962100702e-07	7.85406554225184e-08
MAGIC.663	3.05641317746607e-09	1.22462222352351e-06	3.77803680479781e-07	0.998975000048002	1.72653172416754e-06	1.73399419479592e-06	4.00206397271982e-06	9.86040916385723e-05	2.23784078886754e-06	4.0919725479774e-07	1.73109229181209e-06	4.89418015488904e-07	3.86685664588394e-07	5.48124034565882e-07	7.40635155961011e-07	3.77828513652966e-07	4.17697218315103e-07	0.000909504758667305	4.84510558441217e-07
MAGIC.664	3.71176297714905e-11	2.04307162775003e-08	2.03591523277852e-08	7.99822957815833e-08	2.7567137559664e-08	2.75671427620542e-08	2.73666208337496e-08	0.999999498715352	2.7472795640895e-08	1.84826424934729e-08	2.75671378698196e-08	1.85888255714504e-08	2.03591523282733e-08	2.05105632922887e-08	2.74728859097311e-08	2.03591529781833e-08	1.8481585618726e-08	8.01046955605837e-08	1.85750215639515e-08
